id	injection_order	batch	class	technical_rep	biological_rep
x068_UR_norm_AA_mealC_t07_rtech1_RP_short_SWATH_neg	68	1	AA	1	mealC_t07
x069_UR_norm_AA_mealC_t05_rtech1_RP_short_SWATH_neg	69	1	AA	1	mealC_t05
x070_UR_norm_MM_mealA_t05_rtech1_RP_short_SWATH_neg	70	1	MM	1	mealA_t05
x071_QC_norm_13_RP_short_SWATH_neg	71	1	QC	13	QC
x072_QC_norm_14_RP_short_SWATH_neg	72	1	QC	14	QC
x073_UR_norm_MM_mealB_t03_rtech1_RP_short_SWATH_neg	73	1	MM	1	mealB_t03
x074_UR_norm_DD_mealB_t00_rtech1_RP_short_SWATH_neg	74	1	DD	1	mealB_t00
x075_UR_norm_MM_mealC_t06_rtech1_RP_short_SWATH_neg	75	1	MM	1	mealC_t06
x076_UR_norm_AA_mealA_t06_rtech1_RP_short_SWATH_neg	76	1	AA	1	mealA_t06
x077_UR_norm_DD_mealC_t04_rtech1_RP_short_SWATH_neg	77	1	DD	1	mealC_t04
x078_UR_norm_AA_mealB_t06_rtech1_RP_short_SWATH_neg	78	1	AA	1	mealB_t06
x079_UR_norm_DD_mealA_t02_rtech1_RP_short_SWATH_neg	79	1	DD	1	mealA_t02
x080_UR_norm_DD_mealB_t03_rtech1_RP_short_SWATH_neg	80	1	DD	1	mealB_t03
x081_UR_norm_AA_mealA_t08_rtech1_RP_short_SWATH_neg	81	1	AA	1	mealA_t08
x082_UR_norm_AA_mealC_t04_rtech1_RP_short_SWATH_neg	82	1	AA	1	mealC_t04
x083_QC_norm_15_RP_short_SWATH_neg	83	1	QC	15	QC
x084_QC_norm_16_RP_short_SWATH_neg	84	1	QC	16	QC
x085_UR_norm_AA_mealC_t08_rtech1_RP_short_SWATH_neg	85	1	AA	1	mealC_t08
x086_UR_norm_MM_mealA_t06_rtech1_RP_short_SWATH_neg	86	1	MM	1	mealA_t06
x087_UR_norm_AA_mealA_t03_rtech1_RP_short_SWATH_neg	87	1	AA	1	mealA_t03
x088_UR_norm_AA_mealC_t03_rtech1_RP_short_SWATH_neg	88	1	AA	1	mealC_t03
x089_UR_norm_DD_mealA_t08_rtech1_RP_short_SWATH_neg	89	1	DD	1	mealA_t08
x090_UR_norm_AA_mealB_t00_rtech1_RP_short_SWATH_neg	90	1	AA	1	mealB_t00
x091_UR_norm_MM_mealB_t02_rtech1_RP_short_SWATH_neg	91	1	MM	1	mealB_t02
x092_UR_norm_MM_mealC_t00_rtech1_RP_short_SWATH_neg	92	1	MM	1	mealC_t00
x093_UR_norm_MM_mealA_t04_rtech1_RP_short_SWATH_neg	93	1	MM	1	mealA_t04
x094_UR_norm_MM_mealB_t08_rtech1_RP_short_SWATH_neg	94	1	MM	1	mealB_t08
x095_QC_norm_17_RP_short_SWATH_neg	95	1	QC	17	QC
x096_QC_norm_18_RP_short_SWATH_neg	96	1	QC	18	QC
x097_UR_norm_DD_mealA_t07_rtech1_RP_short_SWATH_neg	97	1	DD	1	mealA_t07
x098_UR_norm_AA_mealB_t02_rtech1_RP_short_SWATH_neg	98	1	AA	1	mealB_t02
x099_UR_norm_AA_mealA_t02_rtech1_RP_short_SWATH_neg	99	1	AA	1	mealA_t02
x100_UR_norm_MM_mealA_t00_rtech1_RP_short_SWATH_neg	100	1	MM	1	mealA_t00
x101_UR_norm_DD_mealB_t01_rtech1_RP_short_SWATH_neg	101	1	DD	1	mealB_t01
x102_UR_norm_MM_mealB_t01_rtech1_RP_short_SWATH_neg	102	1	MM	1	mealB_t01
x103_UR_norm_AA_mealC_t06_rtech1_RP_short_SWATH_neg	103	1	AA	1	mealC_t06
x104_UR_norm_DD_mealB_t06_rtech1_RP_short_SWATH_neg	104	1	DD	1	mealB_t06
x105_UR_norm_DD_mealC_t08_rtech1_RP_short_SWATH_neg	105	1	DD	1	mealC_t08
x106_UR_norm_DD_mealC_t02_rtech1_RP_short_SWATH_neg	106	1	DD	1	mealC_t02
x107_QC_norm_19_RP_short_SWATH_neg	107	1	QC	19	QC
x108_QC_norm_20_RP_short_SWATH_neg	108	1	QC	20	QC
x109_UR_norm_DD_mealC_t06_rtech1_RP_short_SWATH_neg	109	1	DD	1	mealC_t06
x110_UR_norm_DD_mealC_t06_rtech2_RP_short_SWATH_neg	110	1	DD	2	mealC_t06
x111_UR_norm_MM_mealC_t05_rtech2_RP_short_SWATH_neg	111	1	MM	2	mealC_t05
x112_UR_norm_DD_mealC_t05_rtech2_RP_short_SWATH_neg	112	1	DD	2	mealC_t05
x113_UR_norm_DD_mealC_t00_rtech2_RP_short_SWATH_neg	113	1	DD	2	mealC_t00
x114_UR_norm_MM_mealC_t06_rtech2_RP_short_SWATH_neg	114	1	MM	2	mealC_t06
x115_UR_norm_AA_mealA_t00_rtech2_RP_short_SWATH_neg	115	1	AA	2	mealA_t00
x116_UR_norm_AA_mealC_t01_rtech2_RP_short_SWATH_neg	116	1	AA	2	mealC_t01
x117_UR_norm_DD_mealC_t02_rtech2_RP_short_SWATH_neg	117	1	DD	2	mealC_t02
x118_UR_norm_DD_mealB_t03_rtech2_RP_short_SWATH_neg	118	1	DD	2	mealB_t03
x119_QC_norm_21_RP_short_SWATH_neg	119	1	QC	21	QC
x120_QC_norm_22_RP_short_SWATH_neg	120	1	QC	22	QC
x121_UR_norm_MM_mealC_t08_rtech2_RP_short_SWATH_neg	121	1	MM	2	mealC_t08
x122_UR_norm_DD_mealC_t04_rtech2_RP_short_SWATH_neg	122	1	DD	2	mealC_t04
x123_UR_norm_DD_mealC_t08_rtech2_RP_short_SWATH_neg	123	1	DD	2	mealC_t08
x124_UR_norm_MM_mealA_t07_rtech2_RP_short_SWATH_neg	124	1	MM	2	mealA_t07
x125_UR_norm_AA_mealC_t05_rtech2_RP_short_SWATH_neg	125	1	AA	2	mealC_t05
x126_UR_norm_AA_mealB_t05_rtech2_RP_short_SWATH_neg	126	1	AA	2	mealB_t05
x127_UR_norm_MM_mealA_t06_rtech2_RP_short_SWATH_neg	127	1	MM	2	mealA_t06
x128_UR_norm_DD_mealA_t06_rtech2_RP_short_SWATH_neg	128	1	DD	2	mealA_t06
x129_UR_norm_AA_mealA_t03_rtech2_RP_short_SWATH_neg	129	1	AA	2	mealA_t03
x130_UR_norm_MM_mealB_t02_rtech2_RP_short_SWATH_neg	130	1	MM	2	mealB_t02
x131_QC_norm_23_RP_short_SWATH_neg	131	1	QC	23	QC
x132_QC_norm_24_RP_short_SWATH_neg	132	1	QC	24	QC
x133_UR_norm_DD_mealC_t07_rtech2_RP_short_SWATH_neg	133	1	DD	2	mealC_t07
x134_UR_norm_MM_mealB_t06_rtech2_RP_short_SWATH_neg	134	1	MM	2	mealB_t06
x135_UR_norm_DD_mealB_t08_rtech2_RP_short_SWATH_neg	135	1	DD	2	mealB_t08
x136_UR_norm_AA_mealB_t07_rtech2_RP_short_SWATH_neg	136	1	AA	2	mealB_t07
x137_UR_norm_MM_mealA_t00_rtech2_RP_short_SWATH_neg	137	1	MM	2	mealA_t00
x138_UR_norm_DD_mealA_t08_rtech2_RP_short_SWATH_neg	138	1	DD	2	mealA_t08
x139_UR_norm_AA_mealA_t08_rtech2_RP_short_SWATH_neg	139	1	AA	2	mealA_t08
x140_UR_norm_DD_mealB_t01_rtech2_RP_short_SWATH_neg	140	1	DD	2	mealB_t01
x141_UR_norm_AA_mealB_t08_rtech2_RP_short_SWATH_neg	141	1	AA	2	mealB_t08
x142_UR_norm_DD_mealB_t02_rtech2_RP_short_SWATH_neg	142	1	DD	2	mealB_t02
x143_QC_norm_25_RP_short_SWATH_neg	143	1	QC	25	QC
x144_QC_norm_26_RP_short_SWATH_neg	144	1	QC	26	QC
x145_UR_norm_DD_mealC_t01_rtech2_RP_short_SWATH_neg	145	1	DD	2	mealC_t01
x146_UR_norm_DD_mealA_t07_rtech2_RP_short_SWATH_neg	146	1	DD	2	mealA_t07
x147_UR_norm_DD_mealA_t00_rtech2_RP_short_SWATH_neg	147	1	DD	2	mealA_t00
x148_UR_norm_AA_mealC_t06_rtech2_RP_short_SWATH_neg	148	1	AA	2	mealC_t06
x149_UR_norm_MM_mealA_t05_rtech2_RP_short_SWATH_neg	149	1	MM	2	mealA_t05
x150_UR_norm_AA_mealC_t03_rtech2_RP_short_SWATH_neg	150	1	AA	2	mealC_t03
x151_UR_norm_DD_mealA_t01_rtech2_RP_short_SWATH_neg	151	1	DD	2	mealA_t01
x152_UR_norm_MM_mealA_t04_rtech2_RP_short_SWATH_neg	152	1	MM	2	mealA_t04
x153_UR_norm_MM_mealC_t01_rtech2_RP_short_SWATH_neg	153	1	MM	2	mealC_t01
x154_UR_norm_DD_mealA_t02_rtech2_RP_short_SWATH_neg	154	1	DD	2	mealA_t02
x155_QC_norm_27_RP_short_SWATH_neg	155	1	QC	27	QC
x156_QC_norm_28_RP_short_SWATH_neg	156	1	QC	28	QC
x157_UR_norm_MM_mealB_t03_rtech2_RP_short_SWATH_neg	157	1	MM	2	mealB_t03
x158_UR_norm_AA_mealA_t07_rtech2_RP_short_SWATH_neg	158	1	AA	2	mealA_t07
x159_UR_norm_MM_mealB_t04_rtech2_RP_short_SWATH_neg	159	1	MM	2	mealB_t04
x160_UR_norm_AA_mealB_t01_rtech2_RP_short_SWATH_neg	160	1	AA	2	mealB_t01
x161_UR_norm_MM_mealB_t00_rtech2_RP_short_SWATH_neg	161	1	MM	2	mealB_t00
x162_UR_norm_DD_mealB_t04_rtech2_RP_short_SWATH_neg	162	1	DD	2	mealB_t04
x163_UR_norm_MM_mealA_t03_rtech2_RP_short_SWATH_neg	163	1	MM	2	mealA_t03
x164_UR_norm_AA_mealC_t04_rtech2_RP_short_SWATH_neg	164	1	AA	2	mealC_t04
x165_UR_norm_AA_mealB_t06_rtech2_RP_short_SWATH_neg	165	1	AA	2	mealB_t06
x166_UR_norm_MM_mealB_t01_rtech2_RP_short_SWATH_neg	166	1	MM	2	mealB_t01
x167_QC_norm_29_RP_short_SWATH_neg	167	1	QC	29	QC
x168_QC_norm_30_RP_short_SWATH_neg	168	1	QC	30	QC
x169_UR_norm_DD_mealB_t06_rtech2_RP_short_SWATH_neg	169	1	DD	2	mealB_t06
x170_UR_norm_MM_mealC_t00_rtech2_RP_short_SWATH_neg	170	1	MM	2	mealC_t00
x171_UR_norm_AA_mealC_t07_rtech2_RP_short_SWATH_neg	171	1	AA	2	mealC_t07
x172_UR_norm_DD_mealB_t07_rtech2_RP_short_SWATH_neg	172	1	DD	2	mealB_t07
x173_UR_norm_MM_mealA_t01_rtech2_RP_short_SWATH_neg	173	1	MM	2	mealA_t01
x174_UR_norm_AA_mealA_t06_rtech2_RP_short_SWATH_neg	174	1	AA	2	mealA_t06
x175_UR_norm_MM_mealC_t02_rtech2_RP_short_SWATH_neg	175	1	MM	2	mealC_t02
x176_UR_norm_AA_mealB_t03_rtech2_RP_short_SWATH_neg	176	1	AA	2	mealB_t03
x177_UR_norm_MM_mealA_t08_rtech2_RP_short_SWATH_neg	177	1	MM	2	mealA_t08
x178_UR_norm_DD_mealA_t04_rtech2_RP_short_SWATH_neg	178	1	DD	2	mealA_t04
x179_QC_norm_31_RP_short_SWATH_neg	179	1	QC	31	QC
x180_QC_norm_32_RP_short_SWATH_neg	180	1	QC	32	QC
x181_UR_norm_AA_mealA_t04_rtech2_RP_short_SWATH_neg	181	1	AA	2	mealA_t04
x182_UR_norm_AA_mealC_t00_rtech2_RP_short_SWATH_neg	182	1	AA	2	mealC_t00
x183_UR_norm_AA_mealC_t08_rtech2_RP_short_SWATH_neg	183	1	AA	2	mealC_t08
x184_UR_norm_DD_mealA_t03_rtech2_RP_short_SWATH_neg	184	1	DD	2	mealA_t03
x185_UR_norm_AA_mealC_t02_rtech2_RP_short_SWATH_neg	185	1	AA	2	mealC_t02
x186_UR_norm_AA_mealB_t00_rtech2_RP_short_SWATH_neg	186	1	AA	2	mealB_t00
x187_UR_norm_MM_mealC_t04_rtech2_RP_short_SWATH_neg	187	1	MM	2	mealC_t04
x188_UR_norm_AA_mealA_t01_rtech2_RP_short_SWATH_neg	188	1	AA	2	mealA_t01
x189_UR_norm_MM_mealC_t03_rtech2_RP_short_SWATH_neg	189	1	MM	2	mealC_t03
x190_UR_norm_MM_mealB_t08_rtech2_RP_short_SWATH_neg	190	1	MM	2	mealB_t08
x191_QC_norm_33_RP_short_SWATH_neg	191	1	QC	33	QC
x192_QC_norm_34_RP_short_SWATH_neg	192	1	QC	34	QC
x193_UR_norm_MM_mealA_t02_rtech2_RP_short_SWATH_neg	193	1	MM	2	mealA_t02
x194_UR_norm_DD_mealB_t00_rtech2_RP_short_SWATH_neg	194	1	DD	2	mealB_t00
x195_UR_norm_MM_mealB_t05_rtech2_RP_short_SWATH_neg	195	1	MM	2	mealB_t05
x196_UR_norm_DD_mealA_t05_rtech2_RP_short_SWATH_neg	196	1	DD	2	mealA_t05
x197_UR_norm_AA_mealB_t02_rtech2_RP_short_SWATH_neg	197	1	AA	2	mealB_t02
x198_UR_norm_AA_mealA_t02_rtech2_RP_short_SWATH_neg	198	1	AA	2	mealA_t02
x199_UR_norm_MM_mealB_t07_rtech2_RP_short_SWATH_neg	199	1	MM	2	mealB_t07
x200_UR_norm_DD_mealC_t03_rtech2_RP_short_SWATH_neg	200	1	DD	2	mealC_t03
x201_UR_norm_AA_mealB_t04_rtech2_RP_short_SWATH_neg	201	2	AA	2	mealB_t04
x202_UR_norm_DD_mealB_t05_rtech2_RP_short_SWATH_neg	202	2	DD	2	mealB_t05
x203_QC_norm_35_RP_short_SWATH_neg	203	2	QC	35	QC
x204_QC_norm_36_RP_short_SWATH_neg	204	2	QC	36	QC
x205_UR_norm_MM_mealC_t07_rtech2_RP_short_SWATH_neg	205	2	MM	2	mealC_t07
x206_UR_norm_AA_mealA_t05_rtech2_RP_short_SWATH_neg	206	2	AA	2	mealA_t05
x207_UR_norm_AA_mealC_t07_rtech3_RP_short_SWATH_neg	207	2	AA	3	mealC_t07
x208_UR_norm_DD_mealB_t00_rtech3_RP_short_SWATH_neg	208	2	DD	3	mealB_t00
x209_UR_norm_MM_mealC_t04_rtech3_RP_short_SWATH_neg	209	2	MM	3	mealC_t04
x210_UR_norm_DD_mealA_t07_rtech3_RP_short_SWATH_neg	210	2	DD	3	mealA_t07
x211_UR_norm_MM_mealC_t00_rtech3_RP_short_SWATH_neg	211	2	MM	3	mealC_t00
x212_UR_norm_MM_mealB_t01_rtech3_RP_short_SWATH_neg	212	2	MM	3	mealB_t01
x213_UR_norm_AA_mealB_t02_rtech3_RP_short_SWATH_neg	213	2	AA	3	mealB_t02
x214_QC_norm_37_RP_short_SWATH_neg	214	2	QC	37	QC
x215_QC_norm_38_RP_short_SWATH_neg	215	2	QC	38	QC
x216_UR_norm_DD_mealA_t05_rtech3_RP_short_SWATH_neg	216	2	DD	3	mealA_t05
x217_UR_norm_DD_mealC_t03_rtech3_RP_short_SWATH_neg	217	2	DD	3	mealC_t03
x218_UR_norm_MM_mealB_t04_rtech3_RP_short_SWATH_neg	218	2	MM	3	mealB_t04
x219_UR_norm_DD_mealA_t03_rtech3_RP_short_SWATH_neg	219	2	DD	3	mealA_t03
x220_UR_norm_AA_mealB_t00_rtech3_RP_short_SWATH_neg	220	2	AA	3	mealB_t00
x221_UR_norm_MM_mealB_t08_rtech3_RP_short_SWATH_neg	221	2	MM	3	mealB_t08
x222_UR_norm_DD_mealC_t01_rtech3_RP_short_SWATH_neg	222	2	DD	3	mealC_t01
x223_UR_norm_DD_mealA_t02_rtech3_RP_short_SWATH_neg	223	2	DD	3	mealA_t02
x224_UR_norm_AA_mealB_t06_rtech3_RP_short_SWATH_neg	224	2	AA	3	mealB_t06
x225_UR_norm_MM_mealA_t07_rtech3_RP_short_SWATH_neg	225	2	MM	3	mealA_t07
x226_QC_norm_39_RP_short_SWATH_neg	226	2	QC	39	QC
x227_QC_norm_40_RP_short_SWATH_neg	227	2	QC	40	QC
x228_UR_norm_AA_mealA_t00_rtech3_RP_short_SWATH_neg	228	2	AA	3	mealA_t00
x229_UR_norm_DD_mealA_t04_rtech3_RP_short_SWATH_neg	229	2	DD	3	mealA_t04
x230_UR_norm_DD_mealB_t07_rtech3_RP_short_SWATH_neg	230	2	DD	3	mealB_t07
x231_UR_norm_MM_mealA_t01_rtech3_RP_short_SWATH_neg	231	2	MM	3	mealA_t01
x232_UR_norm_DD_mealB_t01_rtech3_RP_short_SWATH_neg	232	2	DD	3	mealB_t01
x233_UR_norm_AA_mealA_t01_rtech3_RP_short_SWATH_neg	233	2	AA	3	mealA_t01
x234_UR_norm_AA_mealA_t05_rtech3_RP_short_SWATH_neg	234	2	AA	3	mealA_t05
x235_UR_norm_MM_mealA_t03_rtech3_RP_short_SWATH_neg	235	2	MM	3	mealA_t03
x236_UR_norm_DD_mealC_t07_rtech3_RP_short_SWATH_neg	236	2	DD	3	mealC_t07
x237_UR_norm_MM_mealC_t07_rtech3_RP_short_SWATH_neg	237	2	MM	3	mealC_t07
x238_QC_norm_41_RP_short_SWATH_neg	238	2	QC	41	QC
x239_QC_norm_42_RP_short_SWATH_neg	239	2	QC	42	QC
x240_UR_norm_MM_mealA_t05_rtech3_RP_short_SWATH_neg	240	2	MM	3	mealA_t05
x241_UR_norm_AA_mealA_t08_rtech3_RP_short_SWATH_neg	241	2	AA	3	mealA_t08
x242_UR_norm_MM_mealB_t00_rtech3_RP_short_SWATH_neg	242	2	MM	3	mealB_t00
x243_UR_norm_DD_mealC_t08_rtech3_RP_short_SWATH_neg	243	2	DD	3	mealC_t08
x244_UR_norm_AA_mealB_t08_rtech3_RP_short_SWATH_neg	244	2	AA	3	mealB_t08
x245_UR_norm_MM_mealC_t02_rtech3_RP_short_SWATH_neg	245	2	MM	3	mealC_t02
x246_UR_norm_AA_mealB_t03_rtech3_RP_short_SWATH_neg	246	2	AA	3	mealB_t03
x247_UR_norm_DD_mealC_t02_rtech3_RP_short_SWATH_neg	247	2	DD	3	mealC_t02
x248_UR_norm_DD_mealC_t05_rtech3_RP_short_SWATH_neg	248	2	DD	3	mealC_t05
x249_UR_norm_DD_mealC_t04_rtech3_RP_short_SWATH_neg	249	2	DD	3	mealC_t04
x250_QC_norm_43_RP_short_SWATH_neg	250	2	QC	43	QC
x251_QC_norm_44_RP_short_SWATH_neg	251	2	QC	44	QC
x252_UR_norm_MM_mealC_t03_rtech3_RP_short_SWATH_neg	252	2	MM	3	mealC_t03
x253_UR_norm_DD_mealB_t08_rtech3_RP_short_SWATH_neg	253	2	DD	3	mealB_t08
x254_UR_norm_DD_mealA_t01_rtech3_RP_short_SWATH_neg	254	2	DD	3	mealA_t01
x255_UR_norm_MM_mealC_t06_rtech3_RP_short_SWATH_neg	255	2	MM	3	mealC_t06
x256_UR_norm_MM_mealB_t03_rtech3_RP_short_SWATH_neg	256	2	MM	3	mealB_t03
x257_UR_norm_AA_mealC_t01_rtech3_RP_short_SWATH_neg	257	2	AA	3	mealC_t01
x258_UR_norm_DD_mealB_t04_rtech3_RP_short_SWATH_neg	258	2	DD	3	mealB_t04
x259_UR_norm_AA_mealC_t08_rtech3_RP_short_SWATH_neg	259	2	AA	3	mealC_t08
x260_UR_norm_MM_mealA_t00_rtech3_RP_short_SWATH_neg	260	2	MM	3	mealA_t00
x261_UR_norm_DD_mealB_t02_rtech3_RP_short_SWATH_neg	261	2	DD	3	mealB_t02
x262_QC_norm_45_RP_short_SWATH_neg	262	2	QC	45	QC
x263_QC_norm_46_RP_short_SWATH_neg	263	2	QC	46	QC
x264_UR_norm_MM_mealA_t04_rtech3_RP_short_SWATH_neg	264	2	MM	3	mealA_t04
x265_UR_norm_MM_mealB_t05_rtech3_RP_short_SWATH_neg	265	2	MM	3	mealB_t05
x266_UR_norm_MM_mealA_t02_rtech3_RP_short_SWATH_neg	266	2	MM	3	mealA_t02
x267_UR_norm_DD_mealA_t00_rtech3_RP_short_SWATH_neg	267	2	DD	3	mealA_t00
x268_UR_norm_AA_mealB_t04_rtech3_RP_short_SWATH_neg	268	2	AA	3	mealB_t04
x269_UR_norm_DD_mealC_t06_rtech3_RP_short_SWATH_neg	269	2	DD	3	mealC_t06
x270_UR_norm_DD_mealB_t06_rtech3_RP_short_SWATH_neg	270	2	DD	3	mealB_t06
x271_UR_norm_AA_mealC_t06_rtech3_RP_short_SWATH_neg	271	2	AA	3	mealC_t06
x272_UR_norm_AA_mealA_t04_rtech3_RP_short_SWATH_neg	272	2	AA	3	mealA_t04
x273_UR_norm_MM_mealA_t08_rtech3_RP_short_SWATH_neg	273	2	MM	3	mealA_t08
x274_QC_norm_47_RP_short_SWATH_neg	274	2	QC	47	QC
x275_QC_norm_48_RP_short_SWATH_neg	275	2	QC	48	QC
x276_UR_norm_MM_mealB_t07_rtech3_RP_short_SWATH_neg	276	2	MM	3	mealB_t07
x277_UR_norm_AA_mealB_t01_rtech3_RP_short_SWATH_neg	277	2	AA	3	mealB_t01
x278_UR_norm_AA_mealC_t03_rtech3_RP_short_SWATH_neg	278	2	AA	3	mealC_t03
x279_UR_norm_DD_mealB_t03_rtech3_RP_short_SWATH_neg	279	2	DD	3	mealB_t03
x280_UR_norm_MM_mealB_t06_rtech3_RP_short_SWATH_neg	280	2	MM	3	mealB_t06
